feature,importance
gf_disease_shift,0.2766554973781544
mean_abs_log2fc,0.1781732488530416
relevance_score,0.0936713869467094
risk_score,0.043217002323089
gf_perturbation_impact,0.0387076730470652
gf_risk_adjustment,0.0357836548314668
symbol_TIMD4,0.0338351931686369
symbol_ANKRD36,0.0321995165047859
gf_geneformer_like_score,0.0262607527722594
symbol_PNISR,0.0249649275048001
symbol_MIAT,0.0218787845412341
mean_tau,0.0202934107811923
symbol_MALAT1,0.0176178232352925
translational_score,0.0143828233926397
specificity_score,0.0115026030621048
expr_std_tcga_pancan,0.0098675609519921
expr_max_tcga_pancan,0.0087533786301446
symbol_ANKRD26,0.0079091577180603
expr_q3_tcga_pancan,0.0076859631257712
symbol_ZMAT1,0.0074316866940544
expr_iqr_tcga_pancan,0.0066946201850778
expr_mean_tcga_pancan,0.0066369862717358
expr_min_tcga_pancan,0.0063423240391319
log_tpm_disease,0.0062077307360807
symbol_SNHG12,0.0045861384647751
